date,weekday,pax,location
10-9-2025,woensdag,81,opkamer
10-9-2025,woensdag,15,nassauzaal
12-9-2024,donderdag,8,hofdame
12-9-2024,donderdag,10,heer ivo zaal
12-9-2025,vrijdag,15,nassauzaal
12-9-2025,vrijdag,15,nassauzaal
12-9-2025,vrijdag,8,prinsessezaal
2-10-2025,donderdag,20,nassauzaal
2-10-2025,donderdag,22,extern
2-10-2025,donderdag,25,hofdame
2-10-2025,donderdag,5,prinsessezaal
3-10-2025,vrijdag,15,nassauzaal
4-10-2025,zaterdag,3,prinsessezaal
4-10-2025,zaterdag,31,opkamer
4-10-2025,zaterdag,14,nassauzaal
5-10-2025,zondag,18,nassauzaal
5-10-2025,zondag,60,extern
5-10-2025,zondag,25,extern
6-10-2024,zondag,8,prinsessezaal
6-10-2025,maandag,25,nassauzaal
6-10-2025,maandag,14,nassauzaal
7-10-2024,maandag,60,extern
7-10-2024,maandag,6,nassauzaal
7-10-2024,maandag,8,prinsessezaal
7-10-2025,dinsdag,5,prinsessezaal
7-10-2025,dinsdag,36,hofdame
9-10-2024,woensdag,20,binnentuin
9-10-2025,donderdag,16,nassauzaal
9-10-2025,donderdag,12,heer ivo zaal
9-10-2025,donderdag,24,hofdame
9-10-2025,donderdag,3,extern
10-10-2024,donderdag,12,nassauzaal
11-10-2025,zaterdag,16,extern
12-10-2025,zondag,14,nassauzaal
12-10-2025,zondag,11,hofdame
12-10-2025,zondag,19,nassauzaal
3-11-2025,maandag,16,nassauzaal
3-11-2025,maandag,10,heer ivo zaal
3-11-2025,maandag,12,prinsessezaal
4-11-2025,dinsdag,82,binnentuin
6-11-2024,woensdag,15,nassauzaal
6-11-2024,woensdag,20,hofdame
6-11-2025,donderdag,20,nassauzaal
7-11-2024,donderdag,14,nassauzaal
7-11-2024,donderdag,25,hofdame
9-11-2024,zaterdag,23,nassauzaal
9-11-2025,zondag,165,extern
9-11-2025,zondag,200,extern
9-11-2025,zondag,4,extern
9-11-2025,zondag,3,extern
9-11-2025,zondag,18,extern
9-11-2025,zondag,25,extern
9-11-2025,zondag,7,extern
10-11-2025,maandag,72,binnentuin
9-11-2025,zondag,7,extern
10-11-2025,maandag,72,binnentuin
11-11-2024,maandag,12,heer ivo zaal
11-11-2025,dinsdag,22,nassauzaal
11-11-2025,dinsdag,10,heer ivo zaal
11-11-2025,dinsdag,5,prinsessezaal
12-11-2024,dinsdag,30,nassauzaal
12-11-2024,dinsdag,7,prinsessezaal
12-11-2024,dinsdag,45,nassauzaal
12-11-2024,dinsdag,10,heer ivo zaal
12-11-2024,dinsdag,8,heer ivo zaal
12-11-2025,woensdag,14,nassauzaal
12-11-2025,woensdag,40,nassauzaal
2-12-2025,dinsdag,15,nassauzaal
2-12-2025,dinsdag,35,extern
3-12-2025,woensdag,90,extern
4-12-2025,donderdag,80,binnentuin
4-12-2025,donderdag,6,prinsessezaal
5-12-2025,vrijdag,30,nassauzaal
5-12-2025,vrijdag,35,opkamer
5-12-2025,vrijdag,20,nassauzaal
6-12-2025,zaterdag,10,heer ivo zaal
7-12-2024,zaterdag,25,binnentuin
